Species;Date;Replica;Treatment ;Leaf_number;EC;RH;Stem_length;Root_Length;Fresh_weight;Dry_weight;Temperature;;
Avena ;201106;TA1.1;Control ;2;"1,5";"20,9";24;NA;NA;NA;"20,1";;
Avena ;201106;TA1.2;Control ;3;"1,58";"65,2";"19,5";NA;NA;NA;"19,6";;
Avena ;201106;TA1.3;Control ;3;"1,59";"58,5";"27,2";NA;NA;NA;"19,7";;
Avena ;201106;TA1.4;Control ;3;"1,56";"41,7";"28,8";NA;NA;NA;"19,5";;
Avena ;201106;TA1.5;Control ;3;"1,75";"63,5";"32,1";NA;NA;NA;"19,6";;
Avena ;201106;TA1.6;Control ;3;"1,7";"61,9";22;NA;NA;NA;"19,5";;
Avena ;201111;TA2.1;Control ;NA;"1,27";"25,5";NA;NA;NA;NA;22;;
Avena ;201111;TA2.2;Control ;NA;"1,3";"52,5";NA;NA;NA;NA;"21,7";;
Avena ;201111;TA2.3;Control ;NA;"1,43";"49,4";NA;NA;NA;NA;"21,7";;
Avena ;201111;TA2.4;Control ;NA;"1,17";"38,1";NA;NA;NA;NA;"21,9";;
Avena ;201111;TA2.5;Control ;NA;"1,43";"55,9";NA;NA;NA;NA;"21,5";;
Avena ;201111;TA2.6;Control ;NA;"1,5";"53,7";NA;NA;NA;NA;"21,4";;
Avena ;201118;TA3.1;Control ;3;"1,44";"46,3";"27,3";NA;NA;NA;"23,4";;
Avena ;201118;TA3.2;Control ;4;"1,44";"69,9";"34,1";NA;NA;NA;"22,6";;
Avena ;201118;TA3.3;Control ;4;"1,48";"66,1";"39,4";NA;NA;NA;"22,6";;
Avena ;201118;TA3.4;Control ;4;"1,32";"48,4";"33,4";NA;NA;NA;23;;
Avena ;201118;TA3.5;Control ;4;"1,52";"70,3";"43,6";NA;NA;NA;"23,1";;
Avena ;201118;TA3.6;Control ;4;"1,66";"64,6";"37,1";NA;NA;NA;23;;
Avena ;201130;TA4.1;Control ;4;"1,35";"20,2";"31,1";NA;NA;NA;"15,7";;
Avena ;201130;TA4.2;Control ;5;"1,31";"45,1";42;NA;NA;NA;"14,6";;
Avena ;201130;TA4.3;Control ;6;"1,31";"37,9";"55,6";NA;NA;NA;"13,9";;
Avena ;201130;TA4.4;Control ;4;"1,28";"29,5";"33,4";NA;NA;NA;"13,9";;
Avena ;201130;TA4.5;Control ;7;"1,56";"45,1";"53,5";NA;NA;NA;"13,7";;
Avena ;201130;TA4.6;Control ;5;"1,34";"44,2";"46,2";NA;NA;NA;"13,4";;
Avena ;201214;TA1.1;Control ;3;"1,44";"16,6";32;"22,5";"1,28";"0,91";"17,8";;
Avena ;201214;TA1.2;Control ;5;"1,38";34;"47,5";"21,7";"4,67";"3,81";"17,4";;
Avena ;201214;TA1.3;Control ;5;"1,72";"24,1";"63,5";"24,5";"7,7";"6,81";17;;
Avena ;201214;TA1.4;Control ;4;"1,32";"27,2";33;"24,3";"1,47";"0,96";17;;
Avena ;201214;TA1.5;Control ;6;"1,73";"30,9";65;"26,6";"8,54";"7,44";"17,2";;
Avena ;201214;TA1.6;Control ;5;"1,51";"25,8";"53,5";"27,6";"6,79";"4,49";"16,7";;
Avena ;201106;TA2.1;100;2;"1,8";58;"17,3";NA;NA;NA;"19,6";;
Avena ;201106;TA2.2;100;3;"1,69";"60,1";"26,3";NA;NA;NA;"19,4";;
Avena ;201106;TA2.3;100;3;"1,38";"39,6";"24,8";NA;NA;NA;"19,4";;
Avena ;201106;TA2.4;100;3;"1,57";"64,7";"23,7";NA;NA;NA;"19,3";;
Avena ;201106;TA2.5;100;3;"1,65";67;"15,2";NA;NA;NA;"19,4";;
Avena ;201106;TA2.6;100;3;"1,53";"60,4";"27,5";NA;NA;NA;"19,1";;
Avena ;201111;TA3.1;100;NA;"3,44";"54,5";NA;NA;NA;NA;22;;
Avena ;201111;TA3.2;100;NA;"3,32";"56,3";NA;NA;NA;NA;"22,3";;
Avena ;201111;TA3.3;100;NA;"3,24";"47,6";NA;NA;NA;NA;"21,7";;
Avena ;201111;TA3.4;100;NA;"3,87";"55,8";NA;NA;NA;NA;"22,1";;
Avena ;201111;TA3.5;100;NA;"3,61";"55,6";NA;NA;NA;NA;22;;
Avena ;201111;TA3.6;100;NA;"3,49";"53,2";NA;NA;NA;NA;"21,2";;
Avena ;201118;TA4.1;100;4;"4,75";"66,1";"30,8";NA;NA;NA;"22,4";;
Avena ;201118;TA4.2;100;4;"4,71";"69,9";"34,1";NA;NA;NA;"22,6";;
Avena ;201118;TA4.3;100;3;"4,74";"64,5";"25,4";NA;NA;NA;"22,6";;
Avena ;201118;TA4.4;100;4;"4,9";73;"31,8";NA;NA;NA;"22,7";;
Avena ;201118;TA4.5;100;5;"4,97";"69,1";"32,1";NA;NA;NA;"22,8";;
Avena ;201118;TA4.6;100;4;"5,48";"61,5";"41,9";NA;NA;NA;"22,9";;
Avena ;201130;TA1.1;100;5;"3,7";"56,7";"40,5";NA;NA;NA;"14,1";;
Avena ;201130;TA1.2;100;8;"3,52";"53,4";"52,4";NA;NA;NA;"13,8";;
Avena ;201130;TA1.3;100;4;"3,45";"49,5";"30,4";NA;NA;NA;"13,5";;
Avena ;201130;TA1.4;100;6;"3,82";"58,2";52;NA;NA;NA;"13,7";;
Avena ;201130;TA1.5;100;9;"3,77";"58,6";"48,7";NA;NA;NA;"13,4";;
Avena ;201130;TA1.6;100;5;"3,55";"51,8";"52,5";NA;NA;NA;"13,5";;
Avena ;201214;TA2.1;100;5;"9,96";"53,4";"53,8";"23,7";"2,79";"2,13";"16,9";;
Avena ;201214;TA2.2;100;9;"9,52";"51,3";62;21;"5,02";"3,91";"16,7";;
Avena ;201214;TA2.3;100;4;"9,1";"44,8";"47,5";"25,8";"1,07";"0,33";"16,8";;
Avena ;201214;TA2.4;100;5;"8,18";"49,1";"52,5";"21,1";"4,01";"2,67";"17,2";;
Avena ;201214;TA2.5;100;8;"10,19";"51,7";"57,2";"22,1";"4,9";"3,78";"16,7";;
Avena ;201214;TA2.6;100;5;"6,07";"50,8";"61,5";"21,6";"4,5";"3,44";"17,5";;
Avena ;201106;TA3.1;200;3;"1,49";"59,9";23;NA;NA;NA;"19,4";;
Avena ;201106;TA3.2;200;3;"1,58";"65,5";"27,5";NA;NA;NA;"19,3";;
Avena ;201106;TA3.3;200;3;"1,59";"65,9";"26,7";NA;NA;NA;"19,3";;
Avena ;201106;TA3.4;200;3;"1,3";"32,2";"22,3";NA;NA;NA;"19,6";;
Avena ;201106;TA3.5;200;3;"1,54";"59,3";"21,8";NA;NA;NA;"19,7";;
Avena ;201106;TA3.6;200;3;"1,61";"63,8";"25,5";NA;NA;NA;"19,6";;
Avena ;201111;TA4.1;200;NA;"3,74";"58,1";NA;NA;NA;NA;"21,5";;
Avena ;201111;TA4.2;200;NA;"3,66";"54,7";NA;NA;NA;NA;22;;
Avena ;201111;TA4.3;200;NA;"3,51";"56,2";NA;NA;NA;NA;"21,9";;
Avena ;201111;TA4.4;200;NA;"4,09";"43,7";NA;NA;NA;NA;22;;
Avena ;201111;TA4.5;200;NA;"3,94";"55,1";NA;NA;NA;NA;23;;
Avena ;201111;TA4.6;200;NA;"2,79";"56,2";NA;NA;NA;NA;"22,3";;
Avena ;201118;TA1.1;200;4;"19,07";"43,4";"32,5";NA;NA;NA;"22,6";;
Avena ;201118;TA1.2;200;5;"17,93";"42,5";"33,6";NA;NA;NA;"22,5";;
Avena ;201118;TA1.3;200;4;"15,98";"46,4";"27,6";NA;NA;NA;"22,4";;
Avena ;201118;TA1.4;200;2;"11,55";"51,7";22;NA;NA;NA;"22,8";;
Avena ;201118;TA1.5;200;4;"16,75";"43,4";"30,5";NA;NA;NA;23;;
Avena ;201118;TA1.6;200;4;"12,07";"56,7";"31,6";NA;NA;NA;"22,9";;
Avena ;201130;TA2.1;200;5;"33,78";31;"36,1";NA;NA;NA;"13,8";;
Avena ;201130;TA2.2;200;4;"48,28";"28,7";"40,3";NA;NA;NA;"13,6";;
Avena ;201130;TA2.3;200;5;"33,15";"36,7";"43,7";NA;NA;NA;"13,4";;
Avena ;201130;TA2.4;200;3;"15,91";"44,5";"22,5";NA;NA;NA;"13,4";;
Avena ;201130;TA2.5;200;6;"24,22";"40,6";"39,3";NA;NA;NA;"13,4";;
Avena ;201130;TA2.6;200;4;"19,93";"46,6";"39,5";NA;NA;NA;"13,4";;
Avena ;201214;TA3.1;200;4;NA;NA;39;23;"2,58";"1,21";"16,8";;
Avena ;201214;TA3.2;200;3;NA;NA;"41,5";"18,5";"1,65";"1,07";"16,7";;
Avena ;201214;TA3.3;200;5;NA;NA;50;"22,5";"2,45";"1,46";"16,5";;
Avena ;201214;TA3.4;200;2;NA;NA;"22,5";22;"0,49";"0,16";"16,5";;
Avena ;201214;TA3.5;200;8;NA;NA;"45,6";16;"2,93";"2,1";"16,4";;
Avena ;201214;TA3.6;200;5;NA;NA;"42,2";"22,4";"2,46";"1,86";"16,5";;
Avena ;201106;TA4.1;Drought;3;"1,54";"54,4";"32,2";NA;NA;NA;20;;
Avena ;201106;TA4.2;Drought;2;"1,5";"52,1";26;NA;NA;NA;"19,7";;
Avena ;201106;TA4.3;Drought;3;"1,55";"55,7";"25,5";NA;NA;NA;"19,7";;
Avena ;201106;TA4.4;Drought;2;"1,5";"54,5";20;NA;NA;NA;"19,5";;
Avena ;201106;TA4.5;Drought;3;"1,53";"52,3";"25,3";NA;NA;NA;"19,8";;
Avena ;201106;TA4.6;Drought;2;"1,54";"54,5";"18,7";NA;NA;NA;"19,6";;
Avena ;201111;TA1.1;Drought;NA;"1,4";"21,2";NA;NA;NA;NA;"22,3";;
Avena ;201111;TA1.2;Drought;NA;"1,46";"20,9";NA;NA;NA;NA;"22,1";;
Avena ;201111;TA1.3;Drought;NA;"1,45";"24,9";NA;NA;NA;NA;"21,9";;
Avena ;201111;TA1.4;Drought;NA;"1,42";"24,1";NA;NA;NA;NA;"22,1";;
Avena ;201111;TA1.5;Drought;NA;"1,51";"20,7";NA;NA;NA;NA;"21,9";;
Avena ;201111;TA1.6;Drought;NA;"1,39";"30,9";NA;NA;NA;NA;"21,8";;
Avena ;201118;TA2.1;Drought;3;"1,71";"16,9";"31,6";NA;NA;NA;"23,1";;
Avena ;201118;TA2.2;Drought;3;NA;"11,3";"26,5";NA;NA;NA;"23,3";;
Avena ;201118;TA2.3;Drought;3;NA;"13,7";"26,9";NA;NA;NA;"23,4";;
Avena ;201118;TA2.4;Drought;3;NA;15;"25,5";NA;NA;NA;"23,9";;
Avena ;201118;TA2.5;Drought;3;NA;"12,5";"26,3";NA;NA;NA;"23,7";;
Avena ;201118;TA2.6;Drought;3;"1,67";"19,1";"22,6";NA;NA;NA;"23,7";;
Avena ;201130;TA3.1;Drought;2;NA;"7,4";"34,5";NA;NA;NA;"14,1";;
Avena ;201130;TA3.2;Drought;2;NA;"3,3";"23,4";NA;NA;NA;"14,2";;
Avena ;201130;TA3.3;Drought;3;NA;"7,1";"27,5";NA;NA;NA;"14,5";;
Avena ;201130;TA3.4;Drought;2;NA;"5,6";"21,5";NA;NA;NA;"14,6";;
Avena ;201130;TA3.5;Drought;3;NA;"5,6";"24,5";NA;NA;NA;"14,5";;
Avena ;201130;TA3.6;Drought;2;NA;"9,3";21;NA;NA;NA;"14,9";;
Avena ;201214;TA4.1;Drought;1;NA;NA;34;25;"0,61";"0,18";"17,1";;
Avena ;201214;TA4.2;Drought;1;NA;NA;"23,5";24;"0,26";"0,09";"17,3";;
Avena ;201214;TA4.3;Drought;2;NA;NA;28;"19,7";"0,22";"0,11";"17,5";;
Avena ;201214;TA4.4;Drought;1;NA;NA;19;15;"0,2";"0,08";"17,7";;
Avena ;201214;TA4.5;Drought;2;NA;NA;20;"18,7";"0,24";"0,09";"17,8";;
Avena ;201214;TA4.6;Drought;1;NA;NA;"19,5";"23,2";"0,21";"0,06";"17,9";;
Triticum;201106;TA1.1;Control ;3;"1,43";"50,6";"28,5";NA;NA;NA;"19,7";;
Triticum;201106;TA1.2;Control ;3;"1,52";"54,2";"27,5";NA;NA;NA;"19,5";;
Triticum;201106;TA1.3;Control ;3;"1,54";53;"22,5";NA;NA;NA;"19,5";;
Triticum;201106;TA1.4;Control ;3;"1,7";"50,3";23;NA;NA;NA;"19,6";;
Triticum;201106;TA1.5;Control ;3;"1,64";"52,7";"27,5";NA;NA;NA;"19,4";;
Triticum;201106;TA1.6;Control ;3;"1,67";"59,5";"26,8";NA;NA;NA;"19,6";;
Triticum;201111;TA2.1;Control ;NA;"1,32";"48,5";NA;NA;NA;NA;"22,2";;
Triticum;201111;TA2.2;Control ;NA;"1,51";"49,7";NA;NA;NA;NA;"21,8";;
Triticum;201111;TA2.3;Control ;NA;"1,46";"47,5";NA;NA;NA;NA;"21,8";;
Triticum;201111;TA2.4;Control ;NA;"1,29";"49,2";NA;NA;NA;NA;"21,4";;
Triticum;201111;TA2.5;Control ;NA;"1,29";"46,6";NA;NA;NA;NA;"21,8";;
Triticum;201111;TA2.6;Control ;NA;"1,31";"50,8";NA;NA;NA;NA;22;;
Triticum;201118;TA3.1;Control ;4;"1,5";61;"32,2";NA;NA;NA;"22,3";;
Triticum;201118;TA3.2;Control ;5;"1,42";"60,3";"36,5";NA;NA;NA;"22,3";;
Triticum;201118;TA3.3;Control ;4;"1,55";"55,7";"29,7";NA;NA;NA;"22,1";;
Triticum;201118;TA3.4;Control ;5;"1,57";"67,3";"31,8";NA;NA;NA;"22,7";;
Triticum;201118;TA3.5;Control ;5;"1,45";"65,6";"33,5";NA;NA;NA;"22,8";;
Triticum;201118;TA3.6;Control ;4;"1,47";"61,2";"32,2";NA;NA;NA;"22,8";;
Triticum;201130;TA4.1;Control ;8;"1,39";"40,3";"38,7";NA;NA;NA;"13,8";;
Triticum;201130;TA4.2;Control ;6;"1,3";"36,9";"45,5";NA;NA;NA;"13,6";;
Triticum;201130;TA4.3;Control ;6;"1,37";"38,6";"42,7";NA;NA;NA;"13,2";;
Triticum;201130;TA4.4;Control ;6;"1,43";"49,3";36;NA;NA;NA;"13,3";;
Triticum;201130;TA4.5;Control ;7;"1,37";44;"43,6";NA;NA;NA;"13,1";;
Triticum;201130;TA4.6;Control ;9;"1,41";"48,9";"43,6";NA;NA;NA;"13,2";;
Triticum;201214;TA1.1;Control ;8;"1,45";34;39;"28,6";"8,07";"6,02";"17,1";;
Triticum;201214;TA1.2;Control ;5;"1,46";"34,7";"49,5";"19,5";"8,6";"7,67";"16,7";;
Triticum;201214;TA1.3;Control ;5;"1,46";"24,3";43;"19,4";"5,9";"4,8";"16,8";;
Triticum;201214;TA1.4;Control ;7;"1,45";"27,1";"45,4";"24,7";"5,8";"4,99";17;;
Triticum;201214;TA1.5;Control ;8;"1,41";"31,1";47;36;"7,23";"5,61";17;;
